#==============================================================
# YLL X-ray Extinction Cross Section Table
#==============================================================
# Authors      : Linli Yan, Aigen Li & Fangjun Lu
# Affiliation  : Anhui Jianzhu University, China
# Contact      : yan.linli@foxmail.com
# Reference    : Yan et al. ApJ, 2026, xxx, xxx
# DOI          : xx.xxxx/xxxxxx
# arXiv        : arXiv:xxxx.xxxxx
# Version      : v1.0
# Date         : 2026-05-06
#==============================================================
# Description:
#   Energy-dependent interstellar X-ray extinction model,
#   including gas absorption, dust absorption, and dust scattering.
#   Element abundance      : Proto-Sun + Galactic Chemical Evolution.
#   Dust model             : silicate + graphite/PAHs.
#   Grain size model       : essentially exponentially-cutoff power-law 
#   size distributions for silicate and graphitic grains; log-normal size
#   distributions for PAHs.
#   For details, see Yan et al. (2026).
#  Columns:
#  1 Energy (eV)
#  2 Gas_abs (cm^2/H)
#  3 Dust_abs (cm^2/H)
#  4 Dust_sca (cm^2/H)
#  5 Total_ext(= gas absorption + dust absorption + dust scattering) (cm^2/H)   
#  
#    Energy            Gas_abs           Dust_abs           Dust_sca          Total_ext
     108.652       5.590845e-20       3.821409e-22       3.083329e-22       5.659892e-20
     109.154       5.519681e-20       3.808077e-22       3.073895e-22       5.588501e-20
     109.658       5.449260e-20       3.794805e-22       3.063621e-22       5.517844e-20
     110.165       5.379567e-20       3.781603e-22       3.052473e-22       5.447907e-20
     110.674       5.310666e-20       3.768505e-22       3.040633e-22       5.378758e-20
     111.185       5.242772e-20       3.755447e-22       3.027854e-22       5.310605e-20
     111.699       5.175603e-20       3.742435e-22       3.014102e-22       5.243168e-20
     112.215       5.109136e-20       3.729475e-22       2.999335e-22       5.176424e-20
     112.733       5.043384e-20       3.716574e-22       2.983519e-22       5.110384e-20
     113.254       4.979127e-20       3.703739e-22       2.966609e-22       5.045830e-20
     113.777       4.916099e-20       3.690975e-22       2.948569e-22       4.982494e-20
     114.303       4.853754e-20       3.679077e-22       2.914894e-22       4.919694e-20
     114.831       4.792102e-20       3.669797e-22       2.832027e-22       4.857120e-20
     115.362       4.731306e-20       3.659470e-22       2.765772e-22       4.795559e-20
     115.895       4.671297e-20       3.645587e-22       2.771407e-22       4.735467e-20
     116.430       4.611987e-20       4.048866e-22       2.823608e-22       4.680712e-20
     116.968       4.553294e-20       4.035810e-22       2.815648e-22       4.621808e-20
     117.509       4.495251e-20       4.018511e-22       2.867372e-22       4.564110e-20
     118.052       4.437811e-20       4.000583e-22       2.930401e-22       4.507120e-20
     118.597       4.380987e-20       3.985671e-22       2.952873e-22       4.450373e-20
     119.145       4.324770e-20       3.971401e-22       2.966808e-22       4.394152e-20
     119.696       4.269396e-20       3.957210e-22       2.980144e-22       4.338770e-20
     120.249       4.214636e-20       3.943183e-22       2.991744e-22       4.283985e-20
     120.804       4.160462e-20       3.929638e-22       2.996677e-22       4.229725e-20
     121.362       4.106877e-20       3.916057e-22       3.001541e-22       4.176053e-20
     121.923       4.053871e-20       3.902445e-22       3.006326e-22       4.122958e-20
     122.486       4.001688e-20       3.888804e-22       3.011025e-22       4.070686e-20
     123.052       3.950785e-20       3.875138e-22       3.015630e-22       4.019693e-20
     123.621       3.900440e-20       3.861452e-22       3.020128e-22       3.969255e-20
     124.192       3.850634e-20       3.847750e-22       3.024518e-22       3.919357e-20
     124.766       3.801393e-20       3.834038e-22       3.028784e-22       3.870022e-20
     125.342       3.752925e-20       3.820318e-22       3.032926e-22       3.821457e-20
     125.922       3.705329e-20       3.806596e-22       3.036923e-22       3.773764e-20
     126.503       3.657961e-20       3.792878e-22       3.040774e-22       3.726298e-20
     127.088       3.611108e-20       3.779169e-22       3.044465e-22       3.679344e-20
     127.675       3.564771e-20       3.765474e-22       3.047983e-22       3.632905e-20
     128.265       3.518935e-20       3.751799e-22       3.051319e-22       3.586967e-20
     128.858       3.473604e-20       3.738151e-22       3.054462e-22       3.541530e-20
     129.453       3.428949e-20       3.724534e-22       3.057400e-22       3.496769e-20
     130.051       3.384794e-20       3.710956e-22       3.060125e-22       3.452505e-20
     130.652       3.341113e-20       3.697513e-22       3.062006e-22       3.408708e-20
     131.256       3.297934e-20       3.684083e-22       3.063573e-22       3.365411e-20
     131.862       3.255226e-20       3.670636e-22       3.065001e-22       3.322582e-20
     132.471       3.212982e-20       3.657176e-22       3.066288e-22       3.280217e-20
     133.083       3.171522e-20       3.643711e-22       3.067419e-22       3.238633e-20
     133.698       3.130888e-20       3.630243e-22       3.068387e-22       3.197874e-20
     134.316       3.090709e-20       3.616779e-22       3.069185e-22       3.157569e-20
     134.937       3.050976e-20       3.603325e-22       3.069805e-22       3.117707e-20
     135.560       3.011686e-20       3.589886e-22       3.070234e-22       3.078288e-20
     136.187       2.972871e-20       3.576468e-22       3.070466e-22       3.039340e-20
     136.816       2.934590e-20       3.563079e-22       3.070490e-22       3.000925e-20
     137.448       2.896762e-20       3.549723e-22       3.070300e-22       2.962962e-20
     138.083       2.859408e-20       3.536409e-22       3.069878e-22       2.925471e-20
     138.721       2.822463e-20       3.523143e-22       3.069219e-22       2.888386e-20
     139.362       2.785931e-20       3.509935e-22       3.068305e-22       2.851714e-20
     140.006       2.750882e-20       3.496788e-22       3.067133e-22       2.816521e-20
     140.653       2.715301e-20       3.483576e-22       3.066464e-22       2.780802e-20
     141.303       2.680118e-20       3.470301e-22       3.066018e-22       2.745481e-20
     141.955       2.645334e-20       3.457009e-22       3.065492e-22       2.710559e-20
     142.611       2.610949e-20       3.443707e-22       3.064887e-22       2.676035e-20
     143.270       2.576947e-20       3.430399e-22       3.064197e-22       2.641893e-20
     143.932       2.543329e-20       3.417092e-22       3.063417e-22       2.608134e-20
     144.597       2.510202e-20       3.403791e-22       3.062548e-22       2.574865e-20
     145.265       2.477820e-20       3.390502e-22       3.061578e-22       2.542341e-20
     145.937       2.445801e-20       3.377233e-22       3.060508e-22       2.510179e-20
     146.611       2.414150e-20       3.363990e-22       3.059330e-22       2.478384e-20
     147.288       2.382858e-20       3.350779e-22       3.058040e-22       2.446947e-20
     147.969       2.351918e-20       3.337607e-22       3.056634e-22       2.415861e-20
     148.652       2.321389e-20       3.324483e-22       3.055104e-22       2.385184e-20
     149.339       2.291254e-20       3.311415e-22       3.053447e-22       2.354903e-20
     150.029       2.261492e-20       3.298410e-22       3.051657e-22       2.324993e-20
     150.723       2.232086e-20       3.285310e-22       3.050044e-22       2.295440e-20
     151.419       2.203017e-20       3.272163e-22       3.048421e-22       2.266223e-20
     152.119       2.174324e-20       3.259025e-22       3.046665e-22       2.237381e-20
     152.821       2.146015e-20       3.245902e-22       3.044779e-22       2.208922e-20
     153.528       2.118029e-20       3.232802e-22       3.042751e-22       2.180785e-20
     154.237       2.090368e-20       3.219730e-22       3.040571e-22       2.152971e-20
     154.950       2.063021e-20       3.206695e-22       3.038240e-22       2.125471e-20
     155.665       2.035993e-20       3.193703e-22       3.035752e-22       2.098288e-20
     156.385       2.009273e-20       3.180763e-22       3.033099e-22       2.071412e-20
     157.107       1.982858e-20       3.167884e-22       3.030277e-22       2.044839e-20
     157.833       1.956980e-20       3.155073e-22       3.027266e-22       2.018803e-20
     158.562       1.931510e-20       3.142338e-22       3.024069e-22       1.993174e-20
     159.295       1.906340e-20       3.129692e-22       3.020671e-22       1.967844e-20
     160.031       1.881456e-20       3.117142e-22       3.017070e-22       1.942798e-20
     160.770       1.856868e-20       3.104313e-22       3.012621e-22       1.918037e-20
     161.513       1.832563e-20       3.091385e-22       3.007584e-22       1.893553e-20
     162.260       1.808579e-20       3.078489e-22       3.002170e-22       1.869386e-20
     163.009       1.784912e-20       3.065632e-22       2.996344e-22       1.845532e-20
     163.762       1.761533e-20       3.052823e-22       2.990095e-22       1.821962e-20
     164.519       1.738445e-20       3.040068e-22       2.983409e-22       1.798680e-20
     165.279       1.715620e-20       3.027376e-22       2.976267e-22       1.775657e-20
     166.043       1.693127e-20       3.014755e-22       2.968644e-22       1.752961e-20
     166.810       1.670903e-20       3.002643e-22       2.947430e-22       1.730404e-20
     167.581       1.648946e-20       2.990355e-22       2.929501e-22       1.708145e-20
     168.355       1.627242e-20       3.099588e-22       2.900748e-22       1.687245e-20
     169.133       1.605795e-20       3.085787e-22       2.898080e-22       1.665634e-20
     169.914       1.584596e-20       3.072720e-22       2.920021e-22       1.644524e-20
     170.699       1.563644e-20       3.059684e-22       2.931550e-22       1.623557e-20
     171.488       1.542939e-20       3.046656e-22       2.935836e-22       1.602764e-20
     172.281       1.587859e-20       3.033675e-22       2.939626e-22       1.647592e-20
     173.077       1.567585e-20       3.020745e-22       2.942901e-22       1.627222e-20
     173.876       1.547539e-20       3.007875e-22       2.945648e-22       1.607074e-20
     174.680       1.527729e-20       2.995073e-22       2.947828e-22       1.587158e-20
     175.487       1.508139e-20       2.982413e-22       2.949117e-22       1.567455e-20
     176.298       1.488781e-20       2.969926e-22       2.949393e-22       1.547974e-20
     177.112       1.469662e-20       2.957413e-22       2.949529e-22       1.528732e-20
     177.930       1.450804e-20       2.944884e-22       2.949512e-22       1.509748e-20
     178.753       1.432163e-20       2.932343e-22       2.949342e-22       1.490980e-20
     179.578       1.413757e-20       2.919796e-22       2.949001e-22       1.472445e-20
     180.408       1.395559e-20       2.907273e-22       2.948437e-22       1.454116e-20
     181.242       1.377607e-20       2.894846e-22       2.947545e-22       1.436031e-20
     182.079       1.359881e-20       2.882389e-22       2.946585e-22       1.418171e-20
     182.920       1.342359e-20       2.869906e-22       2.945562e-22       1.400513e-20
     183.766       1.325041e-20       2.857402e-22       2.944475e-22       1.383059e-20
     184.615       1.307921e-20       2.844883e-22       2.943309e-22       1.365803e-20
     185.468       1.291002e-20       2.832354e-22       2.942068e-22       1.348746e-20
     186.325       1.274274e-20       2.819820e-22       2.940753e-22       1.331880e-20
     187.186       1.257740e-20       2.807288e-22       2.939351e-22       1.315206e-20
     188.050       1.241479e-20       2.794762e-22       2.937871e-22       1.298805e-20
     188.919       1.225503e-20       2.782249e-22       2.936299e-22       1.282688e-20
     189.792       1.209713e-20       2.769758e-22       2.934627e-22       1.266757e-20
     190.669       1.194105e-20       2.757496e-22       2.932785e-22       1.251008e-20
     191.550       1.178682e-20       2.745447e-22       2.930774e-22       1.235444e-20
     192.435       1.163435e-20       2.733355e-22       2.928714e-22       1.220056e-20
     193.324       1.148381e-20       2.721225e-22       2.926614e-22       1.204860e-20
     194.217       1.133552e-20       2.709061e-22       2.924453e-22       1.189887e-20
     195.115       1.118878e-20       2.696866e-22       2.922236e-22       1.175069e-20
     196.016       1.104387e-20       2.684647e-22       2.919964e-22       1.160433e-20
     196.922       1.090069e-20       2.672407e-22       2.917640e-22       1.145970e-20
     197.832       1.075915e-20       2.660154e-22       2.915467e-22       1.131671e-20
     198.746       1.061971e-20       2.647889e-22       2.913013e-22       1.117580e-20
     199.664       1.048187e-20       2.635621e-22       2.910487e-22       1.103648e-20
     200.587       1.034565e-20       2.623608e-22       2.907880e-22       1.089880e-20
     201.514       1.021103e-20       2.612066e-22       2.905206e-22       1.076275e-20
     202.445       1.007800e-20       2.600463e-22       2.902463e-22       1.062829e-20
     203.380       9.946535e-21       2.588803e-22       2.899655e-22       1.049538e-20
     204.320       9.816583e-21       2.577088e-22       2.896782e-22       1.036397e-20
     205.264       9.688166e-21       2.565323e-22       2.893830e-22       1.023408e-20
     206.212       9.562345e-21       2.553510e-22       2.890809e-22       1.010678e-20
     207.165       9.438214e-21       2.541653e-22       2.887719e-22       9.981151e-21
     208.122       9.315524e-21       2.529756e-22       2.884546e-22       9.856954e-21
     209.084       9.201644e-21       2.517824e-22       2.881309e-22       9.741557e-21
     210.050       9.081798e-21       2.505860e-22       2.877983e-22       9.620182e-21
     211.020       8.963401e-21       2.493869e-22       2.874578e-22       9.500246e-21
     211.995       8.846535e-21       2.481856e-22       2.871088e-22       9.381829e-21
     212.975       8.731214e-21       2.469826e-22       2.867509e-22       9.264947e-21
     213.959       8.617315e-21       2.457785e-22       2.863850e-22       9.149479e-21
     214.947       8.504805e-21       2.445737e-22       2.860093e-22       9.035388e-21
     215.941       8.393656e-21       2.433689e-22       2.856251e-22       8.922650e-21
     216.938       8.283803e-21       2.421646e-22       2.852317e-22       8.811199e-21
     217.941       8.175536e-21       2.409615e-22       2.848280e-22       8.701326e-21
     218.948       8.068581e-21       2.397602e-22       2.844143e-22       8.592756e-21
     219.959       7.962893e-21       2.385615e-22       2.839914e-22       8.485446e-21
     220.976       7.858466e-21       2.373886e-22       2.835665e-22       8.379421e-21
     221.997       7.755271e-21       2.362263e-22       2.830897e-22       8.274587e-21
     223.022       7.653335e-21       2.350623e-22       2.826537e-22       8.171051e-21
     224.053       7.552581e-21       2.338972e-22       2.822042e-22       8.068682e-21
     225.088       7.453034e-21       2.327314e-22       2.817438e-22       7.967510e-21
     226.128       7.372789e-21       2.315654e-22       2.812712e-22       7.885625e-21
     227.173       7.276492e-21       2.304000e-22       2.807852e-22       7.787678e-21
     228.222       7.181343e-21       2.292358e-22       2.802850e-22       7.690864e-21
     229.277       7.087341e-21       2.280732e-22       2.797711e-22       7.595185e-21
     230.336       6.994453e-21       2.269130e-22       2.792441e-22       7.500610e-21
     231.401       6.902746e-21       2.257560e-22       2.787010e-22       7.407203e-21
     232.470       6.812244e-21       2.246028e-22       2.781416e-22       7.314988e-21
     233.544       6.722910e-21       2.234542e-22       2.775671e-22       7.223931e-21
     234.623       6.634709e-21       2.223109e-22       2.769745e-22       7.133995e-21
     235.707       6.547569e-21       2.211739e-22       2.763651e-22       7.045108e-21
     236.796       6.461491e-21       2.200439e-22       2.757357e-22       6.957270e-21
     237.890       6.376425e-21       2.189219e-22       2.750871e-22       6.870434e-21
     238.989       6.292467e-21       2.178088e-22       2.744195e-22       6.784695e-21
     240.093       6.209670e-21       2.167055e-22       2.737286e-22       6.700104e-21
     241.203       6.127871e-21       2.155874e-22       2.733294e-22       6.616788e-21
     242.317       6.047051e-21       2.144621e-22       2.729593e-22       6.534472e-21
     243.437       5.967208e-21       2.133359e-22       2.725244e-22       6.453069e-21
     244.562       5.888326e-21       2.122092e-22       2.720212e-22       6.372556e-21
     245.692       5.810388e-21       2.110826e-22       2.714462e-22       6.292917e-21
     246.827       5.733405e-21       2.099567e-22       2.707966e-22       6.214158e-21
     247.967       5.657888e-21       2.088320e-22       2.700661e-22       6.136787e-21
     249.113       5.583402e-21       2.077091e-22       2.692379e-22       6.060349e-21
     250.264       5.612302e-21       2.065888e-22       2.683006e-22       6.087192e-21
     251.420       5.538360e-21       2.054719e-22       2.672600e-22       6.011092e-21
     252.582       5.465313e-21       2.043587e-22       2.661082e-22       5.935780e-21
     253.749       5.393227e-21       2.032503e-22       2.648352e-22       5.861313e-21
     254.921       5.322109e-21       2.021473e-22       2.634328e-22       5.787690e-21
     256.099       5.251912e-21       2.010505e-22       2.618915e-22       5.714854e-21
     257.283       5.182623e-21       1.999607e-22       2.602002e-22       5.642784e-21
     258.471       5.114179e-21       1.988789e-22       2.583501e-22       5.571408e-21
     259.666       5.046573e-21       1.978059e-22       2.563306e-22       5.500709e-21
     260.865       4.979791e-21       1.967314e-22       2.537115e-22       5.430234e-21
     262.071       4.913832e-21       1.956435e-22       2.501895e-22       5.359664e-21
     263.282       4.848731e-21       1.945553e-22       2.463302e-22       5.289617e-21
     264.498       4.784546e-21       1.934675e-22       2.421898e-22       5.220203e-21
     265.720       4.721140e-21       1.923806e-22       2.378724e-22       5.151392e-21
     266.948       4.658518e-21       1.912950e-22       2.335293e-22       5.083342e-21
     268.181       4.596665e-21       1.902118e-22       2.293551e-22       5.016232e-21
     269.420       4.535571e-21       1.891313e-22       2.256400e-22       4.950342e-21
     270.665       4.475222e-21       1.880537e-22       2.229691e-22       4.886245e-21
     271.916       4.415822e-21       1.869795e-22       2.222882e-22       4.825090e-21
     273.172       4.357424e-21       1.859103e-22       2.241927e-22       4.767527e-21
     274.434       4.299740e-21       1.848469e-22       2.282866e-22       4.712873e-21
     275.702       4.242784e-21       1.837899e-22       2.339316e-22       4.660505e-21
     276.976       4.186522e-21       1.827396e-22       2.407889e-22       4.610050e-21
     278.256       4.131157e-21       1.816973e-22       2.484063e-22       4.561260e-21
     279.542       4.076397e-21       1.806522e-22       2.478353e-22       4.504885e-21
     280.833       4.022349e-21       2.939383e-22       2.500436e-22       4.566331e-21
     282.131       3.968994e-21       2.922621e-22       2.495966e-22       4.510853e-21
     283.434       3.916299e-21       2.905840e-22       2.483539e-22       4.455236e-21
     284.744       3.864256e-21       2.889064e-22       2.471197e-22       4.400282e-21
     286.060       3.812848e-21       2.872282e-22       2.461186e-22       4.346195e-21
     287.381       3.762077e-21       2.855502e-22       2.453441e-22       4.292971e-21
     288.709       3.711930e-21       2.838730e-22       2.447941e-22       4.240597e-21
     290.043       3.662415e-21       2.821975e-22       2.444520e-22       4.189065e-21
     291.383       3.652945e-21       2.805242e-22       2.442978e-22       4.177767e-21
     292.729       3.604388e-21       2.788541e-22       2.443071e-22       4.127550e-21
     294.082       3.556422e-21       2.771880e-22       2.444547e-22       4.078064e-21
     295.441       3.509062e-21       2.755268e-22       2.447102e-22       4.029299e-21
     296.806       3.462280e-21       2.738712e-22       2.450472e-22       3.981198e-21
     298.177       3.416074e-21       2.722223e-22       2.454359e-22       3.933732e-21
     299.555       3.370722e-21       2.705809e-22       2.458549e-22       3.887157e-21
     300.939       3.325985e-21       2.689492e-22       2.461656e-22       3.841100e-21
     302.329       3.281807e-21       2.673219e-22       2.462841e-22       3.795413e-21
     303.726       3.238180e-21       2.656943e-22       2.463853e-22       3.750260e-21
     305.130       3.195127e-21       2.640673e-22       2.464628e-22       3.705657e-21
     306.540       3.152663e-21       2.624415e-22       2.465134e-22       3.661618e-21
     307.956       3.426211e-21       2.608177e-22       2.465264e-22       3.933555e-21
     309.379       3.381810e-21       2.591965e-22       2.465037e-22       3.887510e-21
     310.808       3.337945e-21       2.575789e-22       2.464329e-22       3.841957e-21
     312.244       3.294608e-21       2.559656e-22       2.463164e-22       3.796890e-21
     313.687       3.251791e-21       2.543581e-22       2.461534e-22       3.752302e-21
     315.136       3.209490e-21       2.527561e-22       2.459257e-22       3.708172e-21
     316.592       3.167694e-21       2.511610e-22       2.456334e-22       3.664489e-21
     318.055       3.126407e-21       2.495738e-22       2.452781e-22       3.621258e-21
     319.525       3.085609e-21       2.479957e-22       2.448527e-22       3.578457e-21
     321.001       3.045348e-21       2.464233e-22       2.444705e-22       3.536242e-21
     322.484       3.005620e-21       2.448475e-22       2.442563e-22       3.494724e-21
     323.974       2.966377e-21       2.432725e-22       2.440334e-22       3.453683e-21
     325.471       2.927605e-21       2.416989e-22       2.438007e-22       3.413105e-21
     326.975       2.891555e-21       2.401276e-22       2.435547e-22       3.375237e-21
     328.486       2.853711e-21       2.385592e-22       2.432973e-22       3.335567e-21
     330.003       2.816573e-21       2.369945e-22       2.430273e-22       3.296595e-21
     331.528       2.779885e-21       2.354345e-22       2.427439e-22       3.258064e-21
     333.060       2.743642e-21       2.338798e-22       2.424459e-22       3.219967e-21
     334.599       2.707852e-21       2.323316e-22       2.421349e-22       3.182319e-21
     336.145       2.672542e-21       2.307907e-22       2.418075e-22       3.145140e-21
     337.698       2.637700e-21       2.292580e-22       2.414624e-22       3.108421e-21
     339.258       2.603293e-21       2.277347e-22       2.411014e-22       3.072130e-21
     340.826       2.569312e-21       2.262188e-22       2.407344e-22       3.036265e-21
     342.401       2.535740e-21       2.246984e-22       2.403832e-22       3.000822e-21
     343.983       2.502580e-21       2.231795e-22       2.400246e-22       2.965784e-21
     345.572       2.469822e-21       2.216627e-22       2.396553e-22       2.931140e-21
     347.169       2.437462e-21       2.201490e-22       2.392774e-22       2.896889e-21
     348.773       2.405497e-21       2.186389e-22       2.388904e-22       2.863026e-21
     350.384       2.373918e-21       2.171335e-22       2.384941e-22       2.829546e-21
     352.003       2.342726e-21       2.156338e-22       2.380642e-22       2.796424e-21
     353.630       2.352385e-21       2.141400e-22       2.376457e-22       2.804171e-21
     355.263       2.321685e-21       2.126533e-22       2.372127e-22       2.771551e-21
     356.905       2.291390e-21       2.111748e-22       2.367706e-22       2.739335e-21
     358.554       2.261465e-21       2.097053e-22       2.363161e-22       2.707486e-21
     360.211       2.231900e-21       2.082459e-22       2.358515e-22       2.675997e-21
     361.875       2.202693e-21       2.067900e-22       2.353784e-22       2.644861e-21
     363.547       2.173879e-21       2.053354e-22       2.348941e-22       2.614109e-21
     365.227       2.145552e-21       2.038835e-22       2.344029e-22       2.583838e-21
     366.914       2.115795e-21       2.024349e-22       2.339016e-22       2.552131e-21
     368.610       2.088122e-21       2.009904e-22       2.333889e-22       2.522501e-21
     370.313       2.058489e-21       1.995510e-22       2.328651e-22       2.490905e-21
     372.024       2.031655e-21       1.981173e-22       2.323292e-22       2.462102e-21
     373.743       2.005154e-21       1.966901e-22       2.317843e-22       2.433628e-21
     375.469       1.978972e-21       1.952705e-22       2.312304e-22       2.405473e-21
     377.204       1.953115e-21       1.938593e-22       2.306631e-22       2.377637e-21
     378.947       1.927571e-21       1.924575e-22       2.300816e-22       2.350111e-21
     380.698       1.902345e-21       1.910683e-22       2.294929e-22       2.322906e-21
     382.457       1.877425e-21       1.897034e-22       2.288961e-22       2.296025e-21
     384.224       1.852811e-21       1.883354e-22       2.282902e-22       2.269436e-21
     385.999       1.828498e-21       1.869649e-22       2.276706e-22       2.243133e-21
     387.783       1.804480e-21       1.855921e-22       2.270452e-22       2.217117e-21
     389.575       1.780758e-21       1.842177e-22       2.264054e-22       2.191381e-21
     391.375       1.757322e-21       1.828421e-22       2.257553e-22       2.165920e-21
     393.183       1.734187e-21       1.814660e-22       2.250894e-22       2.140743e-21
     395.000       1.711375e-21       1.800898e-22       2.243257e-22       2.115791e-21
     396.825       1.688847e-21       1.787142e-22       2.236387e-22       2.091200e-21
     398.658       1.665562e-21       1.773396e-22       2.229402e-22       2.065842e-21
     400.500       1.643420e-21       1.759668e-22       2.222337e-22       2.041621e-21
     402.351       1.621955e-21       1.747294e-22       2.215942e-22       2.018279e-21
     404.210       1.601513e-21       1.734911e-22       2.209419e-22       1.995946e-21
     406.077       1.581685e-21       1.722476e-22       2.202745e-22       1.974207e-21
     407.953       1.563432e-21       1.709992e-22       2.195915e-22       1.954023e-21
     409.838       1.614532e-21       1.697463e-22       2.188922e-22       2.003170e-21
     411.732       1.745562e-21       1.684892e-22       2.181718e-22       2.132223e-21
     413.634       1.591493e-21       1.672283e-22       2.174392e-22       1.976160e-21
     415.546       1.587056e-21       1.659639e-22       2.166844e-22       1.969704e-21
     417.466       1.567274e-21       1.646964e-22       2.159162e-22       1.947887e-21
     419.394       1.528178e-21       1.634263e-22       2.151256e-22       1.906730e-21
     421.332       1.515342e-21       1.621539e-22       2.143208e-22       1.891817e-21
     423.279       1.493830e-21       1.608797e-22       2.134922e-22       1.868202e-21
     425.235       1.457442e-21       1.596041e-22       2.126491e-22       1.829695e-21
     427.199       1.448077e-21       1.583277e-22       2.117864e-22       1.818191e-21
     429.173       1.427328e-21       1.570510e-22       2.109024e-22       1.795281e-21
     431.156       1.409835e-21       1.557744e-22       2.099982e-22       1.775608e-21
     433.148       1.386579e-21       1.544985e-22       2.090780e-22       1.750155e-21
     435.150       1.366024e-21       1.532238e-22       2.081357e-22       1.727383e-21
     437.160       1.348290e-21       1.519510e-22       2.071711e-22       1.707412e-21
     439.180       1.329777e-21       1.506806e-22       2.061895e-22       1.686647e-21
     441.209       1.311552e-21       1.494133e-22       2.051846e-22       1.666150e-21
     443.248       1.295025e-21       1.481498e-22       2.039040e-22       1.647079e-21
     445.296       1.277447e-21       1.468907e-22       2.028514e-22       1.627189e-21
     447.353       1.260257e-21       1.456367e-22       2.017796e-22       1.607673e-21
     449.420       1.243350e-21       1.443886e-22       2.006836e-22       1.588422e-21
     451.497       1.226678e-21       1.431602e-22       1.996548e-22       1.569493e-21
     453.583       1.210265e-21       1.419543e-22       1.987123e-22       1.550931e-21
     455.679       1.194068e-21       1.407516e-22       1.977321e-22       1.532552e-21
     457.784       1.178102e-21       1.395530e-22       1.967130e-22       1.514368e-21
     459.899       1.162388e-21       1.383589e-22       1.956503e-22       1.496397e-21
     462.024       1.146873e-21       1.371700e-22       1.945529e-22       1.478596e-21
     464.159       1.132789e-21       1.359872e-22       1.934098e-22       1.462186e-21
     466.303       1.117776e-21       1.348111e-22       1.922304e-22       1.444818e-21
     468.458       1.102945e-21       1.336424e-22       1.910031e-22       1.427590e-21
     470.622       1.088290e-21       1.324820e-22       1.897330e-22       1.410505e-21
     472.797       1.073808e-21       1.313306e-22       1.884183e-22       1.393557e-21
     474.981       1.059602e-21       1.301891e-22       1.870537e-22       1.376845e-21
     477.176       1.045165e-21       1.290585e-22       1.856498e-22       1.359873e-21
     479.381       1.031325e-21       1.279394e-22       1.841933e-22       1.343458e-21
     481.596       1.017652e-21       1.268329e-22       1.826903e-22       1.327175e-21
     483.821       1.004112e-21       1.257400e-22       1.811400e-22       1.310992e-21
     486.056       9.841853e-22       1.246616e-22       1.795348e-22       1.288382e-21
     488.302       9.591195e-22       1.235985e-22       1.778877e-22       1.260606e-21
     490.558       9.428401e-22       1.225521e-22       1.761852e-22       1.241577e-21
     492.825       9.304111e-22       1.215234e-22       1.744324e-22       1.226367e-21
     495.102       9.181369e-22       1.205133e-22       1.726235e-22       1.211274e-21
     497.390       9.060231e-22       1.195231e-22       1.702859e-22       1.195832e-21
